(16.574, 0.981, 1.974)
(15.291, 0.900, 1.904)
(14.009, 0.802, 1.822)
(12.731, 0.705, 1.732)
(11.462, 0.609, 1.615)
(10.186, 0.493, 1.485)
(8.904, 0.364, 1.356)
(7.623, 0.246, 1.205)
(6.350, 0.135, 1.038)
(5.078, 0.002, 0.873)
(3.804, -0.145, 0.698)
(2.520, -0.277, 0.521)
(1.241, -0.407, 0.293)
(-0.033, -0.558, 0.096)
