0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.44,0.9,0.26,1.09,-0.43,-1.15,0.27,-0.94,4.0491118094105,0.81,-2.56,998.64,-44.87,169.57
-0.43,0.9,0.25,1.72,-0.41,-1.94,0.26,-1.09,6.250302633567204,1.61,-0.83,558.99,47.69,95.33
-0.3,0.95,0.18,1.41,-0.29,-1.53,0.18,-1.05,8.410456352233128,1.68,-2.16,115.29,-52.85,60.1
-0.22,0.98,0.13,1.04,-0.21,-1.07,0.14,-0.98,1.2566556711367816,1.69,-1.61,1561.43,-27.84,163.06
-0.26,0.96,0.16,1.23,-0.26,-1.31,0.16,-1.02,9.224197534843697,0.04,-0.96,-43.7,-32.03,-0.64
-0.43,0.9,0.25,1.19,-0.41,-1.27,0.26,-0.96,2.214467467798814,0.01,-0.89,1356.7,48.37,174.49
-0.24,0.97,0.15,1.02,-0.25,-1.04,0.15,-0.97,7.192376188067312,2.87,1.84,367.46,69.93,133.04
-0.48,0.88,0.25,1.76,-0.42,-1.99,0.3,-1.08,1.9364780152767869,0.94,-12.4,1427.14,-107.55,166.24
-0.25,0.97,0.14,1.04,-0.24,-1.07,0.16,-0.98,2.345544660101868,1.27,-0.02,1289.66,21.3,145.75
-0.32,0.95,0.19,1.19,-0.32,-1.26,0.2,-0.99,8.452802405149802,4.18,-1.79,110.1,-52.39,150.77
-0.46,0.89,0.25,1.34,-0.42,-1.47,0.29,-0.99,6.011812967781226,2.71,-1.02,579.94,17.25,154.73
-0.28,0.96,0.16,1.8,-0.27,-2.03,0.17,-1.15,2.923860969388117,3.5,-10.94,1214.9,-102.8,152.21
-0.27,0.96,0.15,1.81,-0.25,-2.04,0.17,-1.15,3.6201400530530425,3.64,-3.68,1059.19,40.97,144.04
-0.08,1.0,0.05,1.11,-0.08,-1.15,0.05,-1.02,6.871482912008691,3.09,-0.6,419.16,-9.47,114.52
-0.3,0.95,0.19,1.11,-0.31,-1.16,0.18,-0.98,2.0205700319246644,0.43,-1.37,1381.27,1.48,145.69
-0.39,0.92,0.23,1.25,-0.38,-1.34,0.24,-0.99,3.801896626879695,-0.18,-2.64,1042.74,-15.88,112.54
-0.55,0.83,0.29,1.73,-0.49,-1.96,0.35,-1.04,2.9067119909750385,1.99,-2.23,1242.54,111.18,203.1
-0.43,0.9,0.24,1.38,-0.4,-1.51,0.27,-1.01,3.2065660931123507,0.86,-5.86,1136.05,-69.45,152.37
-0.19,0.98,0.11,1.5,-0.18,-1.65,0.11,-1.1,9.139722321231623,6.97,1.02,-27.17,28.47,194.75
-0.37,0.93,0.22,1.01,-0.36,-1.04,0.23,-0.94,2.386412906002037,0.4,-2.93,1292.48,-75.45,171.72
-0.29,0.96,0.15,1.46,-0.26,-1.59,0.18,-1.07,2.6726687414637516,3.31,-5.33,1292.03,-35.53,177.74
-0.14,0.99,0.08,1.47,-0.14,-1.61,0.09,-1.1,3.2707219332790616,6.26,-2.29,1153.37,30.35,205.25
-0.15,0.99,0.08,1.84,-0.14,-2.07,0.09,-1.18,8.04939477215672,4.92,-1.2,186.84,-4.55,122.48
-0.32,0.95,0.2,1.0,-0.33,-1.03,0.2,-0.95,2.741544881891528,0.06,0.41,1216.85,32.39,135.19
-0.28,0.96,0.16,1.27,-0.27,-1.37,0.17,-1.03,5.155284844189972,0.87,-2.47,751.03,-30.2,84.68
-0.49,0.87,0.26,1.86,-0.44,-2.12,0.31,-1.1,1.6760920898645693,1.7,-12.17,1435.16,-71.57,182.41
-0.13,0.99,0.07,1.49,-0.12,-1.63,0.08,-1.1,4.736313998518517,5.52,-2.05,827.15,11.74,172.4
-0.35,0.94,0.2,1.32,-0.33,-1.42,0.22,-1.02,6.754172234452084,0.72,-1.08,436.71,-2.16,64.63
-0.13,0.99,0.08,1.46,-0.13,-1.59,0.08,-1.09,2.6970328176519587,5.1,-4.06,1282.83,-8.61,174.98
-0.27,0.96,0.16,1.53,-0.26,-1.68,0.16,-1.09,6.89089463802636,0.82,-1.28,431.74,5.94,50.93
-0.47,0.88,0.28,1.23,-0.47,-1.33,0.29,-0.95,8.52240623667109,2.05,1.34,97.1,52.24,84.99
-0.47,0.88,0.25,1.86,-0.43,-2.11,0.3,-1.1,1.3436665086953192,1.65,-10.26,1515.21,-21.99,185.01
-0.38,0.93,0.21,1.34,-0.35,-1.46,0.23,-1.02,3.1451638504166946,1.51,-2.35,1198.99,20.5,164.17
-0.15,0.99,0.08,1.84,-0.14,-2.07,0.09,-1.18,5.255665716392144,5.71,-3.29,735.96,11.43,152.88
-0.09,1.0,0.05,1.53,-0.09,-1.68,0.06,-1.11,8.208484763336363,6.12,-1.62,161.51,-28.79,169.4
-0.08,1.0,0.05,1.11,-0.08,-1.15,0.05,-1.02,2.743158124345041,4.59,-2.23,1232.13,-40.79,176.99
-0.44,0.9,0.23,1.75,-0.39,-1.97,0.28,-1.09,6.132022035982235,0.25,-3.09,562.94,-5.49,59.98
-0.26,0.96,0.15,1.24,-0.25,-1.32,0.16,-1.02,8.80946061079951,2.76,0.8,37.27,28.16,92.97
-0.37,0.93,0.22,1.01,-0.36,-1.04,0.23,-0.94,3.606082265908123,1.06,-2.24,1054.12,-57.65,166.2
-0.42,0.91,0.23,1.66,-0.38,-1.86,0.27,-1.08,7.473067472302541,4.02,-0.56,312.25,22.56,136.14
-0.12,0.99,0.06,1.87,-0.1,-2.1,0.07,-1.19,8.154899166628715,7.1,0.24,164.69,27.98,170.28
-0.43,0.9,0.25,1.19,-0.41,-1.27,0.26,-0.96,5.030181247455857,1.11,0.12,793.73,48.69,139.04
-0.15,0.99,0.09,1.43,-0.15,-1.56,0.09,-1.08,3.5874647751426734,5.23,-1.5,1061.83,39.4,181.66
-0.06,1.0,0.03,1.01,-0.06,-1.03,0.04,-0.99,2.2710926568753145,4.56,-2.7,1337.09,-83.99,177.62
-0.53,0.85,0.31,1.61,-0.51,-1.81,0.32,-1.02,2.9954762834018123,0.23,-7.09,1181.93,-37.2,158.58
-0.35,0.94,0.2,1.74,-0.33,-1.95,0.21,-1.12,8.988869260510878,3.15,-0.17,2.18,-1.96,81.08
-0.11,0.99,0.07,1.44,-0.11,-1.57,0.07,-1.09,4.764802549140935,7.03,-1.33,837.27,26.76,214.4
-0.4,0.92,0.23,1.47,-0.38,-1.63,0.25,-1.04,7.54573982916439,0.85,-1.92,282.71,-26.88,54.62
-0.2,0.98,0.12,1.87,-0.19,-2.11,0.13,-1.18,7.321291185998447,4.48,-0.0,343.52,42.91,118.43
-0.19,0.98,0.11,1.25,-0.18,-1.34,0.11,-1.04,3.0337201912891465,4.03,-1.61,1157.52,11.76,177.77
-0.44,0.9,0.26,1.09,-0.43,-1.15,0.27,-0.94,3.7558581222374943,0.58,-2.81,1057.79,-50.49,169.79
